id,slide,value,kind,context
S10-170,10,-0.10,statistic,"ns STOCK ACQUIRERS 39,819 firm-quarters 1,363 firms +0.10 0 -0.10 -0.0056 SE 0.0368; ns -0.0404 SE 0.0299; ns 0.0353 SE 0.031"
S10-171,10,-0.0056,statistic,"CK ACQUIRERS 39,819 firm-quarters 1,363 firms +0.10 0 -0.10 -0.0056 SE 0.0368; ns -0.0404 SE 0.0299; ns 0.0353 SE 0.0318; ns -0"
S10-172,10,0.0368,statistic,"S 39,819 firm-quarters 1,363 firms +0.10 0 -0.10 -0.0056 SE 0.0368; ns -0.0404 SE 0.0299; ns 0.0353 SE 0.0318; ns -0.0048 SE 0"
S10-173,10,-0.0404,statistic,"rm-quarters 1,363 firms +0.10 0 -0.10 -0.0056 SE 0.0368; ns -0.0404 SE 0.0299; ns 0.0353 SE 0.0318; ns -0.0048 SE 0.0246; ns St"
S10-174,10,0.0299,statistic," 1,363 firms +0.10 0 -0.10 -0.0056 SE 0.0368; ns -0.0404 SE 0.0299; ns 0.0353 SE 0.0318; ns -0.0048 SE 0.0246; ns Stock PRE1 i"
S10-175,10,0.0353,statistic,s +0.10 0 -0.10 -0.0056 SE 0.0368; ns -0.0404 SE 0.0299; ns 0.0353 SE 0.0318; ns -0.0048 SE 0.0246; ns Stock PRE1 is imprecise
S10-176,10,0.0318,statistic,-0.10 -0.0056 SE 0.0368; ns -0.0404 SE 0.0299; ns 0.0353 SE 0.0318; ns -0.0048 SE 0.0246; ns Stock PRE1 is imprecise; it is no
S10-177,10,-0.0048,statistic,56 SE 0.0368; ns -0.0404 SE 0.0299; ns 0.0353 SE 0.0318; ns -0.0048 SE 0.0246; ns Stock PRE1 is imprecise; it is not read as a 
S10-178,10,0.0246,statistic,8; ns -0.0404 SE 0.0299; ns 0.0353 SE 0.0318; ns -0.0048 SE 0.0246; ns Stock PRE1 is imprecise; it is not read as a decline. -
S10-179,10,1,other,299; ns 0.0353 SE 0.0318; ns -0.0048 SE 0.0246; ns Stock PRE1 is imprecise; it is not read as a decline. -0.15 0 +0.20 Ca
S10-180,10,-0.15,statistic,6; ns Stock PRE1 is imprecise; it is not read as a decline. -0.15 0 +0.20 Cash 0.0459 SE 0.0185; p < .05 Stock -0.0524 SE 0.0
S10-181,10,0,other,Stock PRE1 is imprecise; it is not read as a decline. -0.15 0 +0.20 Cash 0.0459 SE 0.0185; p < .05 Stock -0.0524 SE 0.043
S10-182,10,+0.20,statistic,ock PRE1 is imprecise; it is not read as a decline. -0.15 0 +0.20 Cash 0.0459 SE 0.0185; p < .05 Stock -0.0524 SE 0.0436; ns 
S10-183,10,0.0459,statistic, imprecise; it is not read as a decline. -0.15 0 +0.20 Cash 0.0459 SE 0.0185; p < .05 Stock -0.0524 SE 0.0436; ns POOLED SAMPL
S10-184,10,0.0185,statistic,"; it is not read as a decline. -0.15 0 +0.20 Cash 0.0459 SE 0.0185; p < .05 Stock -0.0524 SE 0.0436; ns POOLED SAMPLE 25,600 f"
S10-185,10,05,other,"ead as a decline. -0.15 0 +0.20 Cash 0.0459 SE 0.0185; p < .05 Stock -0.0524 SE 0.0436; ns POOLED SAMPLE 25,600 firm-quart"
S10-186,10,-0.0524,statistic,"decline. -0.15 0 +0.20 Cash 0.0459 SE 0.0185; p < .05 Stock -0.0524 SE 0.0436; ns POOLED SAMPLE 25,600 firm-quarters 1,191 firm"
S10-187,10,0.0436,statistic,".15 0 +0.20 Cash 0.0459 SE 0.0185; p < .05 Stock -0.0524 SE 0.0436; ns POOLED SAMPLE 25,600 firm-quarters 1,191 firms SAMPLE A"
S10-188,10,"25,600",sample_size,"E 0.0185; p < .05 Stock -0.0524 SE 0.0436; ns POOLED SAMPLE 25,600 firm-quarters 1,191 firms SAMPLE AND BASELINE Pre-deal quar"
S10-189,10,"1,191",sample_size,"ck -0.0524 SE 0.0436; ns POOLED SAMPLE 25,600 firm-quarters 1,191 firms SAMPLE AND BASELINE Pre-deal quarters before the firs"
S10-190,10,50%,percentage,"rms SAMPLE AND BASELINE Pre-deal quarters before the first ≥50% cash or stock acquisition, plus firms making neither. Neith"
S10-191,10,3,other,ustered SEs; two-tailed tests. Thesis source: Main Analysis 3; Tables “Event Study by Payment Type: Cash versus Stock Acq
S10-192,10,95%,percentage,Specificity Test: Cash versus Stock Acquirers.” Approximate 95% CIs derived from reported SEs. Note: the comparisons are wi
S10-193,10,10,page_number,"e comparisons are within-firm, descriptive, and not causal. 10 / 13"
S10-194,10,13,other,"parisons are within-firm, descriptive, and not causal. 10 / 13"
S11-195,11,01,bullet_label,"indow, a formal contrast, and a bridge between literatures. 01 THE ANTICIPATORY W INDOW Before the deal is public Reads re"
S11-196,11,02,bullet_label,"work had read managed tone, strategy vocabulary, or prices. 02 A FOR M AL CONTR AST Cash against stock Documents that the "
S11-197,11,03,bullet_label,"model, rather than comparing separate significance results. 03 A LITER ATUR E BR IDGE Private to public Reads unscripted Q"
S11-198,11,11,page_number,"s source: Introduction, contribution paragraph; Conclusion. 11 / 13"
S11-199,11,13,other,"rce: Introduction, contribution paragraph; Conclusion. 11 / 13"
S12-200,12,01,bullet_label,"W H AT I T DOE S NOT SHOW - AND W HER E I T M AY NOT CAR RY 01 Cause and effect The design is descriptive, not causal. It "
S12-201,12,02,bullet_label,"ive, not causal. It characterizes a within-firm regularity. 02 Generalizability The sample skews toward larger, more heavi"
S12-202,12,"1500,",sample_size,"re heavily covered U.S. public firms (approximately the S&P 1500, 2002-2018), limiting generalizability. 03 A direct reading "
S12-203,12,2002,sample_size,"vily covered U.S. public firms (approximately the S&P 1500, 2002-2018), limiting generalizability. 03 A direct reading of th"
S12-204,12,-2018,citation_year," covered U.S. public firms (approximately the S&P 1500, 2002-2018), limiting generalizability. 03 A direct reading of the CEO"
S12-205,12,03,bullet_label,"mately the S&P 1500, 2002-2018), limiting generalizability. 03 A direct reading of the CEO The finance-specific word count"
S12-206,12,04,bullet_label,at abstracts from context; it does not read the CEO's mind. 04 A perfect comparison Stock deals share the disclosure setti
S12-207,12,12,page_number,": Conclusion, limitations and evidence-boundary paragraphs. 12 / 13"
S12-208,12,13,other,"clusion, limitations and evidence-boundary paragraphs. 12 / 13"
S13-209,13,13,page_number,ome your questions and comments. Thesis source: Conclusion. 13 / 13
S13-210,13,13,page_number,our questions and comments. Thesis source: Conclusion. 13 / 13
