"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","query","id","type"
"Are CEOs judged on their companies' social reputation?","Xiangshang Cai; Ning Gao; Ian Garrett; Xu Yan","2020","Journal of Corporate Finance","63","True","https://research.manchester.ac.uk/en/publications/fc35aefa-13b7-466a-a8ca-2cb0aa75e3cb","https://doi.org/10.1016/j.jcorpfin.2020.101621","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W3012327887","article"
"The differential impact of corporate blockchain-development as conditioned by sentiment and financial desperation","Iulia Cioroianu; Shaen Corbet; Charles Larkin","2020","Journal of Corporate Finance","60","True","https://doras.dcu.ie/25906/1/R4.pdf","https://doi.org/10.1016/j.jcorpfin.2020.101814","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W3112937096","article"
"SHOULD BITCOIN BE HELD UNDER THE U.S. PARTISAN CONFLICT?","Chi‐Wei Su; Meng Qin; Xiaolei Zhang; Ran Tao; Muhammad Umar","2021","Technological and Economic Development of Economy","53","True","https://journals.vilniustech.lt/index.php/TEDE/article/download/14058/10314","https://doi.org/10.3846/tede.2021.14058","This paper probes the interrelationship between Bitcoin price (BP) and the U.S. partisan conflict (PC) by performing the bootstrap full- and sub-sample Granger causality tests. The positive influence from PC to BP reveals that Bitcoin can be considered as a tool to avoid the uncertainty caused by the rise in PC. However, this view cannot be supported by the negative impact, the major reason is that the burst of bubble undermines the hedging ability of Bitcoin. The above results are inconsistent with the intertemporal capital asset pricing model (ICAPM), underlining that high PC may drive BP to rise, in order to compensate for the losses and costs from factionalism. Conversely, BP has a negative impact on PC, suggesting that the U.S. political situation can be reflected by the Bitcoin market. Under the circumstance of the fiercer factionalism in the U.S., this investigation can benefit investors and related authorities.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W3128452967","article"
"Using Embedded Feature Selection and CNN for Classification on CCD-INID-V1—A New IoT Dataset","Zhipeng Liu; Niraj Thapa; Addison Shaver; Kaushik Roy; Madhuri Siddula; Xiaohong Yuan","2021","Sensors","52","True","https://www.mdpi.com/1424-8220/21/14/4834/pdf?version=1626744839","https://doi.org/10.3390/s21144834","As Internet of Things (IoT) networks expand globally with an annual increase of active devices, providing better safeguards to threats is becoming more prominent. An intrusion detection system (IDS) is the most viable solution that mitigates the threats of cyberattacks. Given the many constraints of the ever-changing network environment of IoT devices, an effective yet lightweight IDS is required to detect cyber anomalies and categorize various cyberattacks. Additionally, most publicly available datasets used for research do not reflect the recent network behaviors, nor are they made from IoT networks. To address these issues, in this paper, we have the following contributions: (1) we create a dataset from IoT networks, namely, the Center for Cyber Defense (CCD) IoT Network Intrusion Dataset V1 (CCD-INID-V1); (2) we propose a hybrid lightweight form of IDS-an embedded model (EM) for feature selection and a convolutional neural network (CNN) for attack detection and classification. The proposed method has two models: (a) RCNN: Random Forest (RF) is combined with CNN and (b) XCNN: eXtreme Gradient Boosting (XGBoost) is combined with CNN. RF and XGBoost are the embedded models to reduce less impactful features. (3) We attempt anomaly (binary) classifications and attack-based (multiclass) classifications on CCD-INID-V1 and two other IoT datasets, the detection_of_IoT_botnet_attacks_N_BaIoT dataset (Balot) and the CIRA-CIC-DoHBrw-2020 dataset (DoH20), to explore the effectiveness of these learning-based security models. Using RCNN, we achieved an Area under the Receiver Characteristic Operator (ROC) Curve (AUC) score of 0.956 with a runtime of 32.28 s on CCD-INID-V1, 0.999 with a runtime of 71.46 s on Balot, and 0.986 with a runtime of 35.45 s on DoH20. Using XCNN, we achieved an AUC score of 0.998 with a runtime of 51.38 s for CCD-INID-V1, 0.999 with a runtime of 72.12 s for Balot, and 0.999 with a runtime of 72.91 s for DoH20. Compared to KNN, XCNN required 86.98% less computational time, and RCNN required 91.74% less computational time to achieve equal or better accurate anomaly detections. We find XCNN and RCNN are consistently efficient and handle scalability well; in particular, 1000 times faster than KNN when dealing with a relatively larger dataset-Balot. Finally, we highlight RCNN and XCNN's ability to accurately detect anomalies with a significant reduction in computational time. This advantage grants flexibility for the IDS placement strategy. Our IDS can be placed at a central server as well as resource-constrained edge devices. Our lightweight IDS requires low train time and hence decreases reaction time to zero-day attacks.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W3181520075","article"
"The impact of social capital on economic attitudes and outcomes","Iftekhar Hasan; Qing He; Haitian Lu","2020","Journal of International Money and Finance","47","True","https://www.sciencedirect.com/science/article/pii/S0261560620301017","https://doi.org/10.1016/j.jimonfin.2020.102162","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W3007017346","article"
"ESG Reputational Risk, Corporate Payouts and Firm Value","Ioannis Chasiotis; Dimitrios Gounopoulos; Dimitrios Konstantios; Victoria Patsika","2023","British Journal of Management","47","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8551.12745","https://doi.org/10.1111/1467-8551.12745","Abstract This study explores the relationship between ESG reputational risk, corporate payouts and firm value. Using a sample of 2021 US‐listed firms between 2007 and 2019, we provide robust evidence that ESG reputational risk relates to higher payouts, and that free cash flows amplify this relationship. Turning to payout composition, we document that ESG reputational risk associates with a payout mix comprising a higher analogy of share repurchases versus dividends; and that this relationship is more pronounced under financial constraints. Furthermore, we show that the market places a premium on payouts from high ESG reputational risk firms. Our findings are in line with the notion that ESG reputational risk represents agency problems and raises financial risk, inducing firms to disgorge cash via a more flexible payout regime. Results are robust to several estimation techniques that address endogeneity, self‐selection and censored observations.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4383621581","article"
"State Pension Funds and Corporate Social Responsibility: Do Beneficiaries’ Political Values Influence Funds’ Investment Decisions?","Andreas G. F. Hoepner; Lisa Schopohl","2019","Journal of Business Ethics","45","True","https://link.springer.com/content/pdf/10.1007/s10551-018-4091-z.pdf","https://doi.org/10.1007/s10551-018-4091-z","This study explores the underlying drivers of US public pension funds’ tendency to tilt their portfolios towards companies with stronger corporate social responsibility (CSR). Studying the equity holdings of large, internally managed US state pension funds, we find evidence that the political leaning of their beneficiaries and political pressures by state politicians affect funds’ investment decisions. State pension funds from states with Democratic-leaning beneficiaries tilt their portfolios more strongly towards companies that perform well on CSR issues, and this tendency is intensified when the state government is dominated by Democratic state politicians. Moreover, we find that funds which tilt their portfolios towards companies with superior CSR scores generate a slightly higher return compared with their counterparts. Overall, our findings indicate that funds align their investment choices with the financial and non-financial interests of their beneficiaries when deciding whether to incorporate CSR into their equity allocations.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W2905878701","article"
"Political uncertainty, corruption, and corporate cash holdings","Shashitha Jayakody; David Morelli; Jaideep S Oberoi","2023","Journal of Corporate Finance","42","True","https://www.sciencedirect.com/science/article/pii/S0929119923000962","https://doi.org/10.1016/j.jcorpfin.2023.102447","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4381951393","article"
"Firm-level political risk and dividend payout","Muhammad Farooq Ahmad; Saqib Aziz; Rwan El‐Khatib; Oskar Kowalewski","2023","International Review of Financial Analysis","40","True","https://rennes-sb.hal.science/hal-04023055/document","https://doi.org/10.1016/j.irfa.2023.102546","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4318465124","article"
"Political elections and corporate investment: International evidence","Mario Daniele Amore; Margherita Corina","2021","Journal of International Business Studies","34","True","https://link.springer.com/content/pdf/10.1057/s41267-021-00421-6.pdf","https://doi.org/10.1057/s41267-021-00421-6","Abstract Recent literature shows that the spike in uncertainty during political elections harms firms’ investment. Bridging insights from international business and political science, we argue that the effect of political elections on firms’ investment activities is contingent on the country’s electoral system. In particular, we expect the negative effect of elections on corporate investment to be smaller for firms operating in plurality systems. We test our theory using a panel dataset of listed firms around the world, and a panel of US multinationals. Our results confirm that during an election period, firms in countries with a plurality system reduce investment less than firms in other countries. Additionally, we show that multinationals’ foreign investment is affected by elections abroad: their investment in a host country declines during an election in that country, though to a lesser extent if the election is held with a plurality system. Collectively, our findings provide new evidence on the role of political institutions for firms’ investment decisions.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W3156431219","article"
"Political uncertainty and the choice of debt sources","Hamdi Ben‐Nasr; Lobna Bouslimi; M. Shahid Ebrahim; Rui Zhong","2019","Journal of International Financial Markets Institutions and Money","31","True","http://dro.dur.ac.uk/29573/","https://doi.org/10.1016/j.intfin.2019.101142","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W2985595858","article"
"The effect of <scp>US</scp> tax reform on the taxation of <scp>US</scp> firms' domestic and foreign earnings","Scott Dyreng; Fabio B. Gaertner; Jeffrey L. Hoopes; Mary Vernon","2023","Contemporary Accounting Research","28","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1911-3846.12853","https://doi.org/10.1111/1911-3846.12853","Abstract We quantify the immediate net effect of the Tax Cuts and Jobs Act (TCJA) on the tax burden of corporate profits for public US corporations. We find similar reductions in effective tax rates for domestic and multinational firms, yet the entirety of multinational tax savings stemmed from tax savings on their domestic, not foreign, earnings. We find no significant change in the federal tax burden on foreign earnings neither on average norspecifically for firms most likely to be subject to new anti‐abuse provisions. We find some evidence that firms not targeted by anti‐abuse provisions saw reductions in their federal tax burden on foreign income. Overall, while the tax burden on domestic income decreased significantly, our findings suggest the tax burden on the foreign earnings of US multinationals is largely unaffected despite the overhaul of the international tax system. Importantly for US multinationals' investment decisions, while foreign income was heavily tax‐favored prior to tax reform, we find that foreign and domestic incomes are similarly taxed after TCJA enactment.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4319313692","article"
"Tax Policy Expectations and Investment","John Gallemore; Stephan Hollander; Martin Jacob; Zheng Xiang","2024","Journal of Accounting Research","26","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1475-679X.12577","https://doi.org/10.1111/1475-679x.12577","ABSTRACT This paper examines how firms’ tax policy expectations (TPE) evolve around and relate to their investment responses to changes in tax policy. Using a text‐based approach to measuring TPE, we find that two recent tax policy–changing events—namely, the 2016 U.S. presidential election and the enactment of the Tax Cuts and Jobs Act (TCJA)—spawned considerable between‐ and within‐firm variation in TPE, with aggregate time‐series patterns in TPE occasionally challenging prevailing assumptions in previous research. Further, we observe that event‐induced TPE relate to investment both before and in response to the TCJA's passage in 2017, with offsetting associations between its first and second moments, and that these TPE moderate the TCJA's intended investment‐stimulating effect. Furthermore, we document a difference between domestic and multinational firms in their TPE‐investment response, with the former (latter) more likely to adjust the level (shift the country location) of their investment. Overall, our findings support the idea that TPE can impact investment behavior in the face of a tax policy change and suggest that our methodology can be used by future research to incorporate TPE into analyses of tax policy effects.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4402843512","article"
"Flood risk and corporate future orientation: Evidence from sea level rise risk","Qingjie Du; Albert Tsang; Yang Wang","2023","Journal of Business Finance &amp Accounting","25","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbfa.12703","https://doi.org/10.1111/jbfa.12703","Abstract We find that firms located in US counties with higher sea level rise (SLR) risk engage less in future‐oriented activities, that is, lower corporate social responsibility performance, lower R&amp;D investment and fewer patents granted than firms in counties with lower SLR risk. The effect is strengthened when media attention on climate change is high, when the firm has a high level of prior long‐term investment and when the firm is managed by a young CEO and a CEO who has a greater tendency to avoid uncertainty, whereas it is weakened when the firm's CEO is near retirement and when the firm is geographically diversified. Overall, we document a negative relationship between flood risk exposure and corporate future orientation, suggesting that firms change their future‐oriented attitude in response to concern over climate risks.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4378388817","article"
"Economic policy uncertainty and allocative distortions","Omrane Guedhami; Sattar Mansi; David M. Reeb; Yukihiro Yasuda","2021","Journal of Financial Stability","22","True","https://vtechworks.lib.vt.edu/bitstreams/d96a6663-81b8-4735-a840-769df359e175/download","https://doi.org/10.1016/j.jfs.2021.100923","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W3186779661","article"
"Economic Policy Uncertainty and Firm Value: Impact of Investment Sentiments in Energy and Petroleum","Sarfraz Hussain; Rosalan Ali; Walid Emam; Yusra Tashkandy; Pradeep Mishra; Mochammad Fahlevi","2023","Sustainability","22","True","https://doi.org/10.3390/su15129656","https://doi.org/10.3390/su15129656","This study seeks to determine how economic policy uncertainty (EPU) influences investment decisions and the market value of the Pakistan Stock Exchange. This study examines investment and operational data from 249 energy and petroleum companies between 2015 and 2020 and macroeconomic variables such as EPU. This study investigates the moderating effects of EPU on investments in fixed and intangible assets and its effect on Tobin’s Q and the market price per share. The outcomes demonstrate that EPU reduces the costs of both tangible and intangible assets for businesses. In addition, companies with a higher Tobin’s Q and market price per share are more impacted by uncertain corporate investment policies. However, financial leverage is negatively correlated with share price and positively correlated with earnings per share and earnings per unit. Tobin’s Q positively correlates with financial leverage, indicating that firms that raise capital through debt are more likely to create value for investors. The research indicates that market-dependent enterprises are more susceptible to the unpredictability of monetary policy. According to this study, consistent application and open communication of economic policies are likely to increase the efficacy of company investments, resulting in more effective resource allocation and business decision-making.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4380990925","article"
"Fishing in muddy water? Climate policy uncertainty and corporate greenwashing in environmental, social, and governance","Zixuan Zhang; Zhenyu Ge","2024","Managerial and Decision Economics","18","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mde.4254","https://doi.org/10.1002/mde.4254","Abstract This study investigates the relationship between climate policy uncertainty and corporate greenwashing behavior using data from Chinese A‐share listed companies from 2009 to 2021. The results indicate that the increasing climate policy uncertainty significantly and robustly strengthens corporate greenwashing behavior, particularly among firms located in regions with weaker environmental regulations, within high‐polluting industries and with shorter‐term management perspectives. Additionally, the development and widespread adoption of digital technologies, along with enhanced external regulatory pressures, can inversely moderate the positive relationship between climate policy uncertainty and corporate greenwashing. In summary, this study contributes to our understanding of corporate behavior under climate risks and provides insights for achieving social sustainability.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4396937740","article"
"A Language-Independent Measurement of Economic Policy Uncertainty in Eastern European Countries","Alexander Kupfer; Josef Zorn","2019","Emerging Markets Finance and Trade","17","True","https://www.tandfonline.com/doi/pdf/10.1080/1540496X.2018.1559140?needAccess=true","https://doi.org/10.1080/1540496x.2018.1559140","This article proposes a novel way to construct an index for economic policy uncertainty that does not depend on language proficiency. We use two specific features of search volume extraction on Google Trends, combine policy-relevant search queries, and construct our Google economic policy uncertainty index for nine Eastern European countries—a region in which the construction of other economic policy uncertainty indices would require good language proficiency. We illustratively show that major policy-related events are captured and find that shocks on economic policy uncertainty yield a sizable impact on macroeconomic variables.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W2915416874","article"
"The COVID-19 outbreak and corporate cash-holding levels: Evidence from China","Donghua Zhou; Hua Zhou; Min Bai; Yafeng Qin","2022","Frontiers in Psychology","16","True","https://www.frontiersin.org/articles/10.3389/fpsyg.2022.942210/pdf","https://doi.org/10.3389/fpsyg.2022.942210","By employing data from Shanghai and Shenzhen A-share markets for the period of 2019-2020, this paper examines the relationship between the degree of the COVID-19 pandemic's impact on firms' cash-holdings levels in China. We find that firms that are severely affected by the COVID-19 pandemic have higher current cash holdings levels, suggesting that the more positive (negative) the management tone in responding to the COVID-19 pandemic impact, the lower (higher) the firm's current cash holdings. However, future corporate cash holdings decrease considerably irrespective of the corporate sentiment towards COVID-19. The positive sentiment of each firm's management team towards the supply chain and the government policies results in a relative reduction of current cash holdings, whereas the severe impact on operating performance, especially the impact of the outbreak on the supply chain, demand, production and operations, and government policies, reduces the firm' s future cash holdings. In addition, the impact of the pandemic has increased the current cash holdings of state-owned enterprises and reduced the future cash holdings of non-state-owned enterprises. Meanwhile, companies located in a city with a higher density of population or companies that experience relatively higher competition in the industry tend to undergo a severer impact on their current and future cash holdings due to the COVID-19 pandemic. Overall, this study sheds the light on stimulating the vitality of enterprise investment and promoting the domestic economic cycle.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4306390975","article"
"Is presidential popularity a threat or encouragement for investors?","Chi‐Wei Su; Xi Yuan; Muhammad Umar; Tsangyao Chang","2022","Economic Research-Ekonomska Istraživanja","16","True","https://www.tandfonline.com/doi/epdf/10.1080/1331677X.2022.2129409?needAccess=true&role=button","https://doi.org/10.1080/1331677x.2022.2129409","The economic situation of the post-epidemic is facing huge downward risks, and the government actively introduces stimulus measures to improve the current economic situation. In this crisis, the president's role in asset price gradually deepened. Hence, we utilise a wavelet-based quantile-on-quantile approach to uncover the complex and unstable relationships between presidential popularity and the currency performance of asset price. We find the significant negative impact of the government popularity on the stock market and oil prices, especially in the medium quantile. This suggests that political stalemates will not always be suitable for financial markets. Instead, this will hinder the investment because it expresses the uncertainty of the direction. On the contrary, the U.S. dollar presents a highly positive relationship with the government popularity. Investors can avoid the trust risk of the president through the adjustment of the asset portfolio. The result is consistent with the asset pricing model, suggesting that investor sentiments significantly influence the performance of assets. Meanwhile, the duration of impacts caused by short-term shock will eventually be repaired for a long time. The approval ratings will harm the investor sentiment in the short term, but the market will digest this over time.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4303431898","article"
"Bank risk in uncertain times: Do credit rationing and revenue diversification matter?","Ashton de Silva; Huu Nhan Duong; My Nguyеn; Yen Nguyen","2022","Journal of Business Finance &amp Accounting","16","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbfa.12653","https://doi.org/10.1111/jbfa.12653","Abstract We show that bank risk rises, particularly for larger banks and those with greater interest‐sensitive liabilities, during times of economic policy uncertainty through two economic channels: “credit rationing” and “revenue diversification.” The credit rationing channel shows that economic policy uncertainty increases aggregate loan spreads, exacerbating both adverse selection and moral hazard problems leading to higher bank risk. The revenue diversification channel suggests that as economic policy uncertainty reduces bank profits from traditional interest‐based products, banks diversify into other non‐traditional activities, thereby increasing their instability. Overall, our findings highlight the impact of economic policy uncertainty on exacerbating bank risk.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4297012753","article"
"Lessons from the Biggest Business Tax Cut in US History","Gabriel Chodorow-Reich; Owen Zidar; Eric Zwick","2024","The Journal of Economic Perspectives","13","True","https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.38.3.61","https://doi.org/10.1257/jep.38.3.61","We assess the business provisions of the 2017 Tax Cuts and Jobs Act, the biggest corporate tax cut in US history. We draw five lessons. First, corporate tax revenue fell by 40 percent due to the lower rate and more generous expensing. Second, firms with larger declines in their effective tax wedge increased investment relatively more. In aggregate, we suggest a loose consensus from the literature that total tangible corporate investment increased by 11 percent. Third, the business tax provisions increased economic growth and wages by less than advertised by the Act’s proponents, with long-run GDP higher by less than 1 percent and labor income by less than $1,000 per employee. Fourth, provisions that increase foreign investment by US-based multinationals also boost their domestic operations. Fifth, some of the expired and expiring provisions, such as accelerated depreciation, generate more investment per dollar of tax revenue than others.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4401254730","article"
"Economic Policy Uncertainty and Corporate Cash Holdings","Huu Nhan Duong; Justin Hung Nguyen; My Nguyеn; S. Ghon Rhee","2017","SSRN Electronic Journal","13","True","https://doi.org/10.2139/ssrn.2907519","https://doi.org/10.2139/ssrn.2907519","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W3018501098","article"
"Did the Paycheck Protection Program Help Small Businesses? Evidence from Commercial Mortgage-Backed Securities","Sumit Agarwal; Brent W. Ambrose; Luis A. Lopez; Xue Xiao","2024","American Economic Journal Economic Policy","13","True","https://www.aeaweb.org/articles/pdf/doi/10.1257/pol.20220181","https://doi.org/10.1257/pol.20220181","In this study, we examine the broader economic effects of the US federal government’s Paycheck Protection Program by focusing on the performance of securitized commercial mortgages. We provide novel evidence for spillover effects of government interventions in the face of economic crises. We find that the PPP reduced mortgage delinquencies by approximately $36 billion in 2020. The strongest effects occur when PPP funds targeted businesses in areas most affected by COVID-19, where banks overperformed in providing PPP loans, and among mortgages on properties in retail and lodging. Thus, PPP relief to small businesses eased economic distress beyond the labor market. (JEL G21, G28, I12, I18, L25, R33)","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4401177977","article"
"Are Companies Offloading Risk onto Employees in Times of Uncertainty? Insights from Corporate Pension Plans","Douglas J. Cumming; Fanyu Lu; Limin Xu; Chia‐Feng Yu","2024","Journal of Business Ethics","12","True","https://link.springer.com/content/pdf/10.1007/s10551-024-05655-6.pdf","https://doi.org/10.1007/s10551-024-05655-6","Abstract We investigate how firms adjust corporate pension plans in response to economic policy uncertainty (EPU). Using a sample of US-listed firms, we find that firms increase pension underfunding levels when facing higher EPU. The result is robust to controlling for pension portfolio returns, discount rates, plan sizes, pension liability, numbers of employees, other macroeconomic factors, difference-in-differences and instrumental variable estimation, and additional evidence of pension risk-shifting. Further analysis reveals that financial distress and information asymmetry induced through EPU are the potential channels. The effect is stronger for firms having CEOs being excessively paid, using cash flow as a performance metric in CEO compensation, paying high dividends, and having short-term institutional investors, whereas the presence of unions, positive corporate culture, and social capital alleviate the effect. Notably, managers, not shareholders, appear to be the party reaping the benefits. Our findings suggest that firms may shift risk to employees in response to heightened uncertainty and institutional characteristics play a moderating role in this crucial business ethics issue.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4394689103","article"
"Climate Adaptation Risk and Capital Structure: Evidence From State Climate Adaptation Plans","Tunde Kovacs; Saira Latif; Xiaojing Yuan; Chi Zhang","2025","Financial Management","12","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/fima.12493","https://doi.org/10.1111/fima.12493","ABSTRACT Taking the staggered implementation of state climate adaptation plans (SCAPs) as a quasi‐natural experiment, we find that firms headquartered in states that finalize SCAPs increase their financial leverage significantly more in the postadoption period relative to firms located in states without SCAPs. This result is driven by firms facing greater physical climate risk and by firms with more sensitivity to climate policy uncertainty. Further, we show that the leverage increase is value‐enhancing and that SCAPs reduce corporate business risk. The results highlight the net benefits of state climate action and the role of local governments in the interplay between business risk and firm decision, with implications both for the business world and policymakers.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4406214806","article"
"Foreign investors, firm level productivity, and European economic integration","Warren Bailey; Yaz Gűlnur Muradoğlu; Ceylan Onay; Kate Phylaktis","2024","Journal of Corporate Finance","11","True","https://openaccess.city.ac.uk/id/eprint/32434/1/BMOP-EU%2022Feb2024%20WB%20on%20top%20of%20-16-Feb-2024%20WB-COS-GM.pdf","https://doi.org/10.1016/j.jcorpfin.2024.102564","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4392360683","article"
"Precautionary versus Signalling Motive of Share Repurchases: Evidence from Policy Uncertainty and the COVID‐19 Crisis","Zhong Chen; Zicheng Lei; Chunling Xia","2022","British Journal of Management","11","True","https://qmro.qmul.ac.uk/xmlui/bitstream/123456789/95927/2/Xia%20Precautionary%20versus%20Signalling%20Motive%20of%20Share%20Repurchases%3a%20Evidence%20from%20Policy%20Uncertainty%20and%20the%20COVID%e2%80%9019%20Crisis%202022%20Accepted.pdf","https://doi.org/10.1111/1467-8551.12668","Abstract Using policy‐related uncertainty as a shock to firms’ internal and external financing frictions, we find significantly lower repurchase likelihoods, short‐term market reactions, and post‐announcement completion rates of open market share repurchases during periods of high policy uncertainty. Firms are more likely to switch from a high‐ to a low‐commitment repurchase technique when policy uncertainty is high. In contrast, for firms that are significantly undervalued ex ante, higher policy uncertainty leads to more repurchase activities. In addition, we show that the COVID‐19 crisis is associated with a lower repurchase likelihood for financially constrained firms or those with high cash flow volatility, while undervalued firms repurchased more shares during the pandemic period. Our results are robust after controlling for potential sources of endogeneity and conducting a battery of robustness tests. Collectively, our evidence suggests that the relationship between uncertainty and share repurchases is conditional on institutional contexts. Firms’ level of financial flexibility, their demand for signalling, and the credibility and magnitude of repurchase signals all significantly affect their precautionary and signalling motives.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4308477174","article"
"Does Public Firms’ Mandatory IFRS Reporting Crowd Out Private Firms’ Capital Investment?","Jiancheng Liu; Wei Shi; Cheng Zeng; Guochang Zhang","2023","Journal of Accounting Research","11","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1475-679X.12494","https://doi.org/10.1111/1475-679x.12494","ABSTRACT We investigate how the mandatory adoption of International Financial Reporting Standards (IFRS) by publicly listed firms in the European Union affects peer private firms. We find that private firms’ capital investment decreases significantly after the IFRS mandate, relative to public firms. Private firms also display decreased investment when benchmarked against firms relatively insulated from the impact of the IFRS mandate, but the magnitude of the effect is smaller in this case. These results are consistent with the hypothesis that mandatory IFRS reporting (combined with other reforms), while increasing public firms’ financing and investment, crowds out funding for private firms. The effect is more pronounced for larger private firms and in industries where public peers have greater external financing needs. Our evidence suggests that financial reporting regulations cause shifts in resource allocation in an economy.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4378376303","article"
"How does home and host-country policy uncertainty affect outward FDI? Firm-level evidence from China","Weilong Wu; Changqi Shao","2023","Economia Politica","11","True","https://link.springer.com/content/pdf/10.1007/s40888-023-00298-8.pdf","https://doi.org/10.1007/s40888-023-00298-8","","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4362555309","article"
"Can social capital and reputation mitigate political and market competition risk?","Dimitris Andriosopoulos; Sheikh Tanzila Deepty","2022","European Journal of Finance","11","True","https://www.tandfonline.com/doi/epdf/10.1080/1351847X.2022.2116991?needAccess=true&role=button","https://doi.org/10.1080/1351847x.2022.2116991","We assess whether social capital, captured by CSR, is an effective hedge against risks arising from political and market competition risk. Having a higher CSR score significantly reduces stock return volatility during political uncertainty, but not cash flow volatility. Meanwhile, CSR is also an effective hedge against stock return volatility that arises from peer competition. Finally, the hedging effect of CSR on stock return volatility is transient, but has a positive effect on firms' future performance and growth opportunities","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4296403164","article"
"Financial and Economic Determinants of Banks Financial Distress in MENA Region","Abdelmoneim Bahyeldin Mohamed Metwally; Mai Yasser; Eman Adel Ahmed; Mohamed Ali Shabeeb Ali","2025","Economies","11","True","https://www.mdpi.com/2227-7099/13/2/56/pdf?version=1739975170","https://doi.org/10.3390/economies13020056","This study investigates the influences of financial performance and economic determinants (inflation rate and economic growth) on financial distress (FD) in the MENA region in the context of the contagion effect theory and Minsky’s financial instability theory. This paper examines the determinants of financial distress in the MENA region from 2002 until 2020 using pooled OLS, fixed effect, and GMM panel estimation models; then the results are used to estimate the effect over the long run. The results show that the things that cause financial distress are changing a lot between countries in the MENA region. This shows how important it is to separate the effects of economic and financial factors. The results show the significance of economic growth, ROA, ROE, inflation, and stock market profitability using fixed effects. The results changed when we used GMM, concluding that economic growth, ROA, ROE, and stock market profitability were significant, while inflation was not significant. Therefore, there is a significant and negative relationship between financial distress and economic growth in GCC-MENA as well as other MENA countries. Our results can be of importance to investors and regulators. The introduction of a more stable political environment and engagement in international economic and financial markets will decrease the negative impacts of financial distress and boost economic growth and its sustainability in the MENA region.","""presidential election"" ""cash holdings"" 2016","https://openalex.org/W4407742534","article"
