"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","citing_anchor","id","type"
"Firm-level political risk and earnings opacity","Huy Viet Hoang; Khánh Hoàng; Cuong Nguyen; Dung Viet Tran","2023","Journal of Accounting and Public Policy","25","False","","https://doi.org/10.1016/j.jaccpubpol.2023.107101","","Hassan2019_PRisk","https://openalex.org/W4380372076","article"
"Environment‐specific political risk mitigation: Political lobbying versus green innovation","Sohanur Rahman; Elisabeth Sinnewe; Larelle Chapple; Sarah Osborne","2023","Journal of Business Finance &amp Accounting","25","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbfa.12740","https://doi.org/10.1111/jbfa.12740","Abstract Greater political pressure to improve corporate environmental performance and mitigate climate change impact leads firms to operate under greater political risk and uncertainty, affecting productivity and firm value. Using a panel of 3255 US firms from 2002 to 2020, this research tests the effectiveness of two environment‐specific political risk (EPR) mitigation approaches: political lobbying and green innovation. The results suggest that while both approaches mitigate EPR of the current year, only green innovation reduces future EPR. By mitigating EPR, green innovation increases firm value to a greater degree than political lobbying. This study also shows that political lobbying has a larger effect on EPR mitigation for the leaders than the laggards in green innovation. The results are robust to alternative specifications of green innovation, political lobbying and potential endogeneity concerns. Overall, this study supports the value‐enhancing role of green innovation as an effective political risk mitigation strategy.","Hassan2019_PRisk","https://openalex.org/W4384030819","article"
"Financial Innovation in the Twenty-First Century: Evidence from US Patents","Josh Lerner; Amit Seru; Nicholas Short; Yuan Sun","2023","Journal of Political Economy","25","False","","https://doi.org/10.1086/727712","We explore the evolution of financial innovation using US finance patents. Patented financial innovations are substantial and increasingly economically important. Their subject matter has changed, consistent with the industry’s shift toward household investors and borrowers. Information technology (IT) and other nonfinancial firms drove the surge in financial patenting. The location of innovation shifted, with banks moving activity away from states with tight financial regulation and high-tech regions attracting innovation by payments, IT, and nonfinancial firms. Analyses of returns suggest that the social value of these innovations is higher than their private value. We present a simple model to explain these trends.","Hassan2019_PRisk","https://openalex.org/W4386484793","article"
"Credit Supply and Green Investments","Antonio Accetturo; Giorgia Barboni; Michele Cascarano; Emilia García-Appendini; Marco Tomasi","2022","SSRN Electronic Journal","25","True","https://doi.org/10.2139/ssrn.4217890","https://doi.org/10.2139/ssrn.4217890","","Hassan2019_PRisk","https://openalex.org/W4297100814","article"
"The Costs of Housing Regulation: Evidence From Generative Regulatory Measurement","Alexander Bartik; Arpit Gupta; Daniel Milo","2023","SSRN Electronic Journal","25","True","https://doi.org/10.2139/ssrn.4627587","https://doi.org/10.2139/ssrn.4627587","","Hassan2019_PRisk","https://openalex.org/W4389124728","article"
"Does Political Uncertainty Obfuscate Narrative Disclosure?","Mohamed Mekhaimer; Marwa Soliman; Weining Zhang","2024","The Accounting Review","24","True","https://publications.aaahq.org/accounting-review/article-pdf/doi/10.2308/TAR-2021-0884/103885/tar-2021-0884.pdf","https://doi.org/10.2308/tar-2021-0884","ABSTRACT We examine the relation between political uncertainty and narrative disclosure complexity in conference calls. Using firm-level political uncertainty, we find that political uncertainty is positively associated with firms’ disclosures complexity as measured by the Fog index. Decomposing complexity into two latent components—information and obfuscation—we show that political uncertainty significantly increases the obfuscation but has no impact on the information. Further analysis reveals that complex disclosure is motivated by expected poor future performance amid political uncertainty. We also show that, during periods of heightened political uncertainty, obfuscated disclosure is associated with reduced earnings informativeness, increased dispersion in analyst forecasts, and higher volatility in forecast revisions. These findings are robust to including and excluding sentences containing complex political bigrams when calculating Fog. Further evidence shows that, during periods of political uncertainty, managers tend to use a more ambiguous tone and provide scripted and shorter (longer) responses to analysts’ questions (presentations).","Hassan2019_PRisk","https://openalex.org/W4390661219","article"
"Can the establishment of a personal data protection system promote corporate innovation?","Wanyi Chen; Yi-Ying Wang; Dongjing Wu; Xingqiang Yin","2024","Research Policy","24","False","","https://doi.org/10.1016/j.respol.2024.105080","","Hassan2019_PRisk","https://openalex.org/W4401118766","article"
"The impact of firm-level political risk on ESG practices: Does CEO Duality Matter?","Kaouther Chebbi; Aymen Ammari; Seyed Alireza Athari; Nouha Ben Arfa","2024","Journal of Cleaner Production","24","False","","https://doi.org/10.1016/j.jclepro.2024.144096","","Hassan2019_PRisk","https://openalex.org/W4403827416","article"
"Economic policy uncertainty and insider trading","Sadok El Ghoul; Omrane Guedhami; Robert C. Nash; He Wang","2022","The Journal of Financial Research","24","False","","https://doi.org/10.1111/jfir.12299","Abstract In this article, we examine the effects of economic policy uncertainty (EPU) on insider trading. Two hypotheses predict that EPU is positively related to insider trading volume and profitability: (1) the private benefits hypothesis, which states that insiders exploit their information advantage to realize abnormal profits, and (2) the signaling hypothesis, which states that insiders trade to signal private information to stock market participants. We find that EPU is positively and significantly related to the profitability of insider purchases, and that insiders purchase more frequently during high‐EPU periods. Additional analysis provides strong support for the signaling hypothesis but no support for the private benefits hypothesis.","Hassan2019_PRisk","https://openalex.org/W4293397169","article"
"Ex-ante litigation risk and firm-level climate-change exposure","Ashrafee T Hossain; Hatem Rjiba; Dongyang Zhang","2023","Journal of Economic Behavior & Organization","24","False","","https://doi.org/10.1016/j.jebo.2023.09.008","","Hassan2019_PRisk","https://openalex.org/W4386491239","article"
"Does broadband internet infrastructure mitigate firm-level economic policy uncertainty? Evidence from the Broadband China Pilot Policy","Wang Bin; Liang Wang; Bairong Gong; Zhengwei Yan; Pan Hu","2023","Economics Letters","24","False","","https://doi.org/10.1016/j.econlet.2023.111325","","Hassan2019_PRisk","https://openalex.org/W4386580902","article"
"The Geography of New Technologies","Nicholas Bloom; Tarek A. Hassan; Aakash Kalyani; Josh Lerner; Ahmed Tahoun","2020","","24","False","","https://doi.org/10.36687/inetwp126","We identify novel technologies using textual analysis of earnings conference calls, newspapers, announcements, and patents. Our approach enables us to document the rollout of 20 new technologies across firms and labor markets in the U.S. Four stylized facts emerge from our data. First, as technologies develop, the number of new positions related to them grows, but the average education requirements and wage levels of the positions drop. Second, as technologies develop, their employment impact diffuses across the country: initially, technologies are concentrated in local hubs, but over time, their adoption diffuses geographically. Third, despite this diffusion, the initial hubs retain a disproportionate share employment in the technology, particularly at the high-skill end of the spectrum. Finally, technology hubs are more likely to arise in areas with universities and high skilled labor pools.","Hassan2019_PRisk","https://openalex.org/W3036449594","article"
"Does Finance Benefit Society? A Language Embedding Approach","Manish Jha; Hongyi Liu; Asaf Manela","2020","SSRN Electronic Journal","24","True","https://doi.org/10.2139/ssrn.3655263","https://doi.org/10.2139/ssrn.3655263","","Hassan2019_PRisk","https://openalex.org/W3046894143","article"
"Bank Lending during the COVID-19 Pandemic","Iftekhar Hasan; Panagiotis N. Politsidis; Zenu Sharma","2020","SSRN Electronic Journal","24","True","https://doi.org/10.2139/ssrn.3711021","https://doi.org/10.2139/ssrn.3711021","","Hassan2019_PRisk","https://openalex.org/W3094374238","article"
"Corporate Websites: A New Measure of Voluntary Disclosure","Romain Boulland; Thomas Bourveau; Matthias Breuer","2019","SSRN Electronic Journal","24","True","https://doi.org/10.2139/ssrn.3816623","https://doi.org/10.2139/ssrn.3816623","","Hassan2019_PRisk","https://openalex.org/W3157870580","article"
"Measuring Firm Exposure to Government Agencies","Daphne M. Armstrong; Stephen Glaeser; Jeffrey L. Hoopes","2023","SSRN Electronic Journal","24","True","http://dx.doi.org/10.2139/ssrn.4428258","https://doi.org/10.2139/ssrn.4428258","","Hassan2019_PRisk","https://openalex.org/W4367360616","article"
"Generative LLMs and Textual Analysis in Accounting: (Chat) GPT as Research Assistant?","Ties de Kok","2023","SSRN Electronic Journal","24","True","https://doi.org/10.2139/ssrn.4429658","https://doi.org/10.2139/ssrn.4429658","","Hassan2019_PRisk","https://openalex.org/W4375819616","article"
"(Almost) 200 Years of News-Based Economic Sentiment","Jules van Binsbergen; Svetlana Bryzgalova; Mayukh Mukhopadhyay; V. Sharma","2024","National Bureau of Economic Research","24","True","https://doi.org/10.3386/w32026","https://doi.org/10.3386/w32026","Using text from 200 million pages of 13,000 US local newspapers and machine learning methods, we construct a 170-year-long measure of economic sentiment at the country and state levels, that expands existing measures in both the time series (by more than a century) and the cross-section.Our measure predicts GDP (both nationally and locally), consumption, and employment growth, even after controlling for commonly-used predictors, as well as monetary policy decisions.Our measure is distinct from the information in expert forecasts and leads its consensus value.Interestingly, news coverage has become increasingly negative across all states in the past halfcentury.","Hassan2019_PRisk","https://openalex.org/W4390686402","report"
"Political/Policy Uncertainty, Corporate Disclosure, and Information Asymmetry*","Lijun Lei; Yan Luo","2022","Accounting Perspectives","23","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1911-3838.12317","https://doi.org/10.1111/1911-3838.12317","ABSTRACT Political/policy uncertainty causes significant disruption to capital markets around the world. This review synthesizes recent studies on this topic and provides suggestions for future research in this fast‐growing area. Specifically, this review focuses on three areas of research: (i) the measurement of political/policy uncertainty, (ii) the impact of political/policy uncertainty on financial analysts' forecasts, and (iii) the impact of political/policy uncertainty on corporate disclosure. We find that political/policy uncertainty affects both corporate disclosures and financial analysts' forecasts and that these effects interact with information asymmetry in capital markets. Furthermore, we find that companies strategically change their disclosure practices during periods of heightened political/policy uncertainty.","Hassan2019_PRisk","https://openalex.org/W4286771001","article"
"Trading with friends in uncertain times","Adam Jakubik; Michèle Ruta","2023","Journal of Policy Modeling","23","False","","https://doi.org/10.1016/j.jpolmod.2023.06.009","","Hassan2019_PRisk","https://openalex.org/W4385568998","article"
"Firm‐level political risk and implied cost of equity capital","Dev R. Mishra","2023","International Review of Finance","23","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/irfi.12411","https://doi.org/10.1111/irfi.12411","Abstract I find a strong positive association between firms' implied cost of equity capital and firm‐level political risk. This effect is above and beyond the firm‐level cost of equity implications of economywide political risk. Firm‐level political risk contributes to elevating stock illiquidity, increases dispersion of analyst forecasts and dampens analyst coverage and these attributes, in turn, have positive cost of equity capital implications. Overall, the findings of this study suggest firm‐level political risk has a non‐trivial effect on increasing equity market illiquidity, increasing dispersion of earnings forecasts and decreasing analyst coverage thus increasing financing costs.","Hassan2019_PRisk","https://openalex.org/W4320480498","article"
"Digital transformation tone signal and the cost of equity: Evidence from Chinese listed companies","Borui Guo; Xiaoxia Huang","2023","Finance research letters","23","False","","https://doi.org/10.1016/j.frl.2023.104720","","Hassan2019_PRisk","https://openalex.org/W4388662449","article"
"Firm-level political risk and credit markets","Mahmoud Gad; Valeri V. Nikolaev; Ahmed Tahoun; Laurence van Lent","2022","SSRN Electronic Journal","23","True","https://doi.org/10.2139/ssrn.4163742","https://doi.org/10.2139/ssrn.4163742","","Hassan2019_PRisk","https://openalex.org/W4286371339","article"
"Corporate Discount Rates","Niels Joachim Gormsen; Kilian Huber","2023","National Bureau of Economic Research","23","True","https://doi.org/10.3386/w31329","https://doi.org/10.3386/w31329","Standard theory implies that the discount rates used by firms in investment decisions (i.e., their required returns to capital) determine investment and transmit financial shocks to the real economy.However, there exists little evidence on how firms' discount rates change over time and affect investment.We construct a new global database based on manual entry from conference calls.We show that, on average, firms move their discount rates with the cost of capital, but the relation is far below the one-to-one mapping assumed by standard theory, with substantial heterogeneity across firms.This pattern leads to time-varying wedges between discount rates and the cost of capital.The average wedge has increased substantially over the last decades as the cost of capital has dropped.Future investment is negatively related to discount rate wedges.Moreover, the large and growing discount rate wedges can account for the puzzle of ""missing investment"" (relative to high asset prices) in recent decades.We find that beliefs about value creation combined with market power, as well as fluctuations in risk, explain changes in discount rate wedges over time.","Hassan2019_PRisk","https://openalex.org/W4380365831","report"
"Event Space and Firm Value: Chinese Listed Firms in the US–China Trade War","Jane Lu; Xiaoyu Zhou","2023","Journal of Management","22","False","","https://doi.org/10.1177/01492063231162089","Although past studies in crisis management usually have taken a geography-focused approach to study how physical proximity increases firms’ exposure to a crisis, this study draws on event system theory and proposes that independent of firms’ geographic locations, an event can have multiple spatial directions and proximities to the firms in the event space. To further unpack the effects of event space, we develop an integrated framework that considers how the event space interacts with entity attributes—which are found to help firms cope with external challenges affecting their market value. Using the shock of the 2018 US–China trade war on listed firms in China’s stock market, we find that the trade war has significantly reduced the market value of firms that have spatial proximity to the product market (i.e., firms that belong to target industries) and to the geographic market (i.e., firms that export to the United States) in event space. This negative effect also spills over onto peer organizations with business activities related to target industries or the United States. Moreover, there are differential moderating effects from entity attributes, such as corporate political connections and corporate social responsibility, on the different event spatial directions, pointing to the distinct natures of event spatial directions. This study introduces a novel, multidimensional view of event space and uses it to develop an event space model for geopolitical events, and in so doing, we complement extant work on the role of crises in shaping corporate strategy and performance.","Hassan2019_PRisk","https://openalex.org/W4361284648","article"
"Firm‐level political risk and bank loan contracting","Walid Saffar; Yang Wang; K.C. John Wei","2024","Contemporary Accounting Research","22","False","","https://doi.org/10.1111/1911-3846.12951","Abstract We investigate the impact of firm‐level political risk on loan contracting. We find that firm‐level political risk is positively associated with bank loan cost and that this effect is stronger for firms experiencing increased operational uncertainty and higher default risks. Firm‐level political risk also leads to more unfavorable non‐pricing loan terms. To alleviate endogeneity concerns, we use an instrumental variable approach and placebo tests. We further find that political connections and relationship‐based borrowing can attenuate the adverse effect of firm‐level political risk on loan contracting.","Hassan2019_PRisk","https://openalex.org/W4399121052","article"
"US partisan conflict uncertainty and oil prices","Nicholas Apergis; Tasawar Hayat; Tareq Saeed","2021","Energy Policy","22","True","http://hdl.handle.net/10545/625751","https://doi.org/10.1016/j.enpol.2020.112118","","Hassan2019_PRisk","https://openalex.org/W3119608805","article"
"Context-Based Interpretation of Financial Information","Alex Kim; Valeri V. Nikolaev","2023","SSRN Electronic Journal","22","True","http://dx.doi.org/10.2139/ssrn.4317208","https://doi.org/10.2139/ssrn.4317208","","Hassan2019_PRisk","https://openalex.org/W4313504207","article"
"The economic effects of firm-level uncertainty: Evidence using subjective expectations","Giuseppe Fiori; Filippo Scoccianti","2023","Journal of Monetary Economics","21","False","","https://doi.org/10.1016/j.jmoneco.2023.08.004","","Hassan2019_PRisk","https://openalex.org/W3192233138","article"
"Does financial inclusion moderate the effect of digital transformation on banks’ performance in China?","Fan Yang; Tajul Ariffin Masron","2023","Cogent Economics & Finance","21","True","https://doi.org/10.1080/23322039.2023.2267270","https://doi.org/10.1080/23322039.2023.2267270","Digital transformation remains a passion. Globally, science and technology are transforming businesses to make them more competitive and conducive to sustainable development. However, rapid advancements in financial technology have enabled financial institutions to steal customers from traditional banks, resulting in their demise. Consequently, this study employs the System GMM-two step estimator and data from 118 Chinese banks from 2014 to 2021 investigate the issue. Empirical evidence suggests that banks' digital transformation has a negative impact on their profitability to some extent, but digital inclusive finance has enabled the bank to change its digital transformation behavior and enhance its operational performance. Therefore, banks must continue to strengthen their digital transformation by expanding online customer services, increasing the use of e-accounts and mobile applications, providing digital offline services, strengthening digital risk management and privacy and security controls, reducing customer psychological risk, and promoting financial inclusion. Financial inclusion should simultaneously achieve reduced financial exclusion of customers and increased financial literacy of customers. All these factors will help banks to maintain profitability by leveraging synergies with financial inclusion in the process of digital transformation.","Hassan2019_PRisk","https://openalex.org/W4387574834","article"
"The Effects of Terrorist Attacks on Supplier–Customer Relationships","Weiqiang Tan; Wenming Wang; Wenlan Zhang","2024","Production and Operations Management","21","True","https://journals.sagepub.com/doi/pdf/10.1177/10591478231224920","https://doi.org/10.1177/10591478231224920","We examine the causal effects of nearby terrorist attacks on supplier–customer relationships. We find that for supplier firms located near terrorist attacks, the probability of relationship termination with their major customers increases by 2.9 percentage points within two years following the attacks. The major customers’ intensified perceptions of supply chain risk largely drive the relationship termination. Further analyses show that major customers tend to switch to suppliers with lower terrorism risks after they end their relationships with the suppliers near attacks. This study provides new insights into the consequences of terrorism by extending the focus to the response of a key stakeholder group (i.e., trade partners) instead of the attack-afflicted firms per se.","Hassan2019_PRisk","https://openalex.org/W4392733978","article"
"Firm-level political risk and corporate innovation: evidence from US listed firms","Huson Joher Ali Ahmed; Mohammad Badrul Muttakin; Arifur Khan","2022","International Journal of Managerial Finance","21","True","https://figshare.com/articles/journal_contribution/Firm-level_political_risk_and_corporate_innovation_evidence_from_US_listed_firms/20598651","https://doi.org/10.1108/ijmf-11-2021-0554","Purpose The study examines the association between firm-level political risk and corporate innovation and also this study explores how financial constraint and growth level of a firm influence this association. Design/methodology/approach A sample of 14,140 firm-year observations of the US firms from 2003 to 2020 is used. Unlike prior studies, this study uses a firm-level measure of political risk recently developed by Hassan et al. (2019) and measure innovation by patent and patent citation data and a text-based measure. A regression technique is used for empirical testing. Findings This study finds that firm-level political risk is negatively associated with innovation and also document that firm-level political risk has a negative impact on innovation for financially constrained and high growth firms. The overall results are robust after addressing the issue of potential endogeneity using entropy balancing and two-stage least squares regression techniques. This study also documents qualitatively consistent results after using alternative measures of innovation as well as firm-level political uncertainty. Research limitations/implications The findings of this study could help the managers to make better investment decision and improve economic efficiency through understanding the effect of firm-level political risk on innovation activities. Originality/value The study concentrates on firm-level political risk and innovation and presents new insights that political risk at the microlevel is an important determinant for investment in innovative activities.","Hassan2019_PRisk","https://openalex.org/W4229028743","article"
"Economic policy uncertainty, COVID-19 and corporate investment: Evidence from the gold mining industry","Tania Klayme; Korhan K. Gökmenoğlu; Bezhan Rustamov","2023","Resources Policy","21","False","","https://doi.org/10.1016/j.resourpol.2023.103787","","Hassan2019_PRisk","https://openalex.org/W4380366674","article"
"Climate risk exposure and geographical allocation of business activities: Evidence from Chinese listed companies","Yuan Sun; Xiaowei Sun; Zehao Wang","2023","Finance research letters","21","False","","https://doi.org/10.1016/j.frl.2023.104697","","Hassan2019_PRisk","https://openalex.org/W4388486297","article"
"US political corruption and quarterly conference calls","Lamia Chourou; Ashrafee T Hossain; Anand Jha","2024","Journal of Banking & Finance","21","False","","https://doi.org/10.1016/j.jbankfin.2024.107108","","Hassan2019_PRisk","https://openalex.org/W4391887646","article"
"Managerial ability and climate change exposure","G. M. Wali Ullah; Isma Khan; Mohammad Abdullah","2023","International Journal of Managerial Finance","20","False","","https://doi.org/10.1108/ijmf-12-2022-0551","Purpose This study aims to investigate how a firm's management team's capacity to efficiently use its resources affects the firm's exposure to climate change. Specifically, the authors investigate the intriguing question – does managerial ability affect a firm's climate change exposure? Design/methodology/approach The authors use an unbalanced panel dataset of 4,230 US based firms listed on Compustat from 2002–2019 and test the hypothesis by panel regression analysis. To mitigate endogeneity concerns, difference-in-differences and instrumental variable approaches are used. Findings The baseline analysis shows a negative, statistically significant impact of managerial ability on climate change exposure. The findings hold after controlling for endogeneity using two-stage least squares regression and difference-in-differences tests. The authors find the negative effect is stronger for managers engaged in socially responsible activities, and after climate change issues receiving greater public awareness following the 2006 release of the Stern Review and the 2016 signing of the Paris Accord. Research limitations/implications Motivated by the resource-based theory and the natural resource-based view of the firm model, the empirical results support the view that greater managerial ability protects the firm against environmental challenges through efficient use of firm resources. Compared with traditional climate change measures that are plagued by disclosure issues, the use of the Sautner, Van Lent, Vilkov and Zhang's machine learning based dataset utilizing earning conference calls provides stronger, robust findings that will be useful to management and investors in environmental performance assessments. Originality/value Motivated by the resource-based theory and the natural resource-based view of the firm model, the empirical results support the view that greater managerial ability protects the firm against environmental challenges through efficient use of firm resources. Compared with traditional climate change measures that are plagued by disclosure issues, the use of the machine learning based dataset utilizing earning conference calls provides stronger, robust findings that will be useful to management and investors in environmental performance assessments.","Hassan2019_PRisk","https://openalex.org/W4386246096","article"
"Regulation and Innovation Revisited: How Restrictive Environments Can Promote Destabilizing New Technologies","Michael Park; Shuping Wu; Russell J. Funk","2024","Organization Science","20","False","","https://doi.org/10.1287/orsc.2022.16770","Previous literature offers conflicting findings on how the restrictiveness of the regulatory environment—the amount of rules that prohibit specific activities—affects innovation of firms. One camp suggests that restrictiveness circumscribes the range of available technological components and therefore decreases innovation. The other camp believes that restrictiveness can lead firms to seek new alternative technological components, which could increase innovation. In this article, we develop a new theory on regulation and innovation to reconcile these views, which we test using novel data on federal regulations and the patents of 1,242 firms, from 1994 to 2013. We find that restrictiveness can have both a negative and positive relationship with innovation output depending on the level of regulatory uncertainty and the innovation type in question. Funding: This work was supported by the Mercatus Center, George Mason University, and the Strategy Research Foundation [Grant SRF-2021-DRG-8365]. Supplemental Material: The online appendix is available at https://doi.org/10.1287/orsc.2022.16770 .","Hassan2019_PRisk","https://openalex.org/W4401533943","article"
"The rise of the walking dead: Zombie firms around the world","Bruno Albuquerque; Roshan Iyer","2024","Journal of International Economics","20","False","","https://doi.org/10.1016/j.jinteco.2024.104019","","Hassan2019_PRisk","https://openalex.org/W4403680188","article"
"Geoeconomics","Cathrin Mohr; Christoph Trebesch","2025","Annual Review of Economics","20","True","https://doi.org/10.1146/annurev-economics-092424-111952","https://doi.org/10.1146/annurev-economics-092424-111952","We review the literature on geoeconomics, defined as the field of study that links economics and geopolitics (in particular, in terms of power rivalry). We describe what geoeconomics is and which questions it addresses, focusing on five main subfields: ( a ) the use of geoeconomic policy tools such as sanctions and embargoes; ( b ) the geopolitics of international trade, especially work on coercion and fragmentation; ( c ) the geopolitics of international finance, which focuses on currency dominance and state-directed capital flows; ( d ) the literature on geopolitical risk and its spillovers to the domestic economy, for example, on investments, credit, and inflation; and ( e ) the economics of war, in particular research on trade and war and on military production. As geopolitical tensions grow, we expect the field to grow substantially in the coming years.","Hassan2019_PRisk","https://openalex.org/W4410514175","article"
"The effect of suppliers' corporate social responsibility concerns on customers' stock price crash risk","Huimin Chen; Khondkar E. Karim; Anqi Tao","2021","Advances in Accounting","20","False","","https://doi.org/10.1016/j.adiac.2021.100516","","Hassan2019_PRisk","https://openalex.org/W3130571169","article"
"Staring Death in the Face: The Financial Impact of Corporate Exposure to Prior Disasters","Onur Kemal Tosun; Arman Eshraghi; Yaz Gűlnur Muradoğlu","2021","British Journal of Management","20","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8551.12539","https://doi.org/10.1111/1467-8551.12539","Abstract We examine how firms’ exposure to prior disastrous events can influence their stock market footprint during the coronavirus crisis. While others have drawn comparisons between past pandemics and Covid‐19, we argue that such comparisons are skewed due to the unprecedented reach and consequences of the latter. To better model the structural shock caused by Covid‐19 in the USA, we look at the 9/11 terrorist attacks and specifically examine how firms based in New York City back then reacted to the associated financial turmoil. While 9/11 and Covid‐19 are categorically different events, their short‐term impacts on the stock market, and on New York exchanges in particular, are surprisingly similar. We find firms that financially ‘survived’ 9/11 also managed to do better – or suffer less – by about 7% in terms of stock returns during Covid‐19, compared to control firms that were not exposed to 9/11. In a sense, we show that companies’ prior exposure to 9/11 partly ‘immunized’ them against the consequences of a similarly destabilizing event, albeit two decades later. Interestingly, the trading volume of exposed firms increased due to market buying pressures. Our analysis is robust to various financial proxies, alternative definitions of control firms and varying estimation windows.","Hassan2019_PRisk","https://openalex.org/W3172452247","article"
"The Global Impact of Brexit Uncertainty","Tarek A. Hassan; Laurence van Lent; Stephan Hollander; Ahmed Tahoun","2019","","20","True","https://www.ineteconomics.org/uploads/papers/WP_106-Tahoun-et-al-Brexit-Jan-2020-n.pdf","https://doi.org/10.36687/inetwp106","Using tools from computational linguistics, we construct new measures of the impact of Brexit on listed firms in the United States and around the world: the share of discussions in quarterly earnings conference calls on costs, benefits, and risks associated with the UK’s intention to leave the EU. Using this approach, we identify which firms expect to gain or lose from Brexit and which are most affected by Brexit uncertainty. We then estimate the effects of these different kinds of Brexit exposure on firm-level outcomes. We find that concerns about Brexit-related uncertainty extend far beyond British or even European firms. US and international firms most exposed to Brexit uncertainty have lost a substantial fraction of their market value and have reduced hiring and investment. In addition to Brexit uncertainty (the second moment), we find that international firms overwhelmingly expect negative direct effects of Brexit (the first moment), should it come to pass. Most prominently, firms expect difficulties resulting from regulatory divergence, reduced labor mobility, trade access, and the costs of adjusting their operations post-Brexit. Consistent with the predictions of canonical theory, this negative sentiment is recognized and priced in stock markets but has not yet had significant effects on firm actions.","Hassan2019_PRisk","https://openalex.org/W4213105584","article"
"Firm-level political sentiment and corporate tax avoidance","Yi Liu; Justin Yiqiang Jin; Zehua Zhang; Ran Zhao","2022","International Review of Financial Analysis","20","False","","https://doi.org/10.1016/j.irfa.2022.102358","","Hassan2019_PRisk","https://openalex.org/W4294676867","article"
"Regulatory Costs and Market Power","Shikhar Singla","2023","SSRN Electronic Journal","20","True","https://doi.org/10.2139/ssrn.4368609","https://doi.org/10.2139/ssrn.4368609","","Hassan2019_PRisk","https://openalex.org/W4321782021","article"
"The political economy of Australian regulatory reform","Darcy W E Allen; Chris Berg; Aaron M. Lane; Patrick A. McLaughlin","2020","Australian Journal of Public Administration","19","True","","https://doi.org/10.1111/1467-8500.12447","Abstract The problem of regulatory accumulation has increasingly been recognised as a policy problem in its own right. Governments have then devised and implemented regulatory reform policies that directly seek to ameliorate the burdens of regulatory accumulation (e.g. red tape reduction targets). In this paper we examine regulatory reform approaches in Australia through the lens of policy innovation. Our contributions are twofold. We first examine the evolutionary discovery process of regulatory reform policies in Australia (at the federal, intergovernmental, and state levels). This demonstrates a process of policy innovation in regulatory mechanisms and measurements. We then analyse a new measurement of regulatory burden based on text analytics, RegData: Australia. RegData: Australia uses textual analysis to count ‘restrictiveness clauses' in regulation – such as ‘must’, ‘cannot’ and ‘shall’ – thereby developing a new database (RDAU1.0). We place this ‘restrictiveness clauses’ measurement within the context of regulatory policy innovation, and examine the potential for further innovation in regulatory reform mechanisms.","Hassan2019_PRisk","https://openalex.org/W3087273170","article"
"The Impact of Firm‐Level Political Risk on Eco‐Innovation: The Moderating Effect of CEO Power","Ayotola Owolabi; Mohammad Mahdi Mousavi; Giray Gözgör; Jing Li","2024","Business Strategy and the Environment","19","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bse.4124","https://doi.org/10.1002/bse.4124","ABSTRACT This study examines the impact of firm‐level political risk on eco‐innovation at the firm level, particularly emphasizing the moderating role of CEO power in this relationship. Using a dataset from 33 countries from 2006 to 2022, we employ two‐step dynamic panel data estimations to address endogeneity concerns. The findings highlight a positive impact of political risk on eco‐innovation, which is further strengthened in the presence of a powerful CEO. This evidence implies that effective leadership from CEOs can assist firms in navigating political risks and advancing sustainable initiatives. The results remain robust across various specifications, including alternative measurements for firm‐level political risk. The study highlights the crucial role of CEOs in managing political risks and facilitating eco‐innovative practices within firms.","Hassan2019_PRisk","https://openalex.org/W4405884597","article"
"Capturing Retailers’ Brand and Customer Focus","Simeng Han; Werner Reinartz; Bernd Skiera","2021","Journal of Retailing","19","True","https://doi.org/10.1016/j.jretai.2021.01.001","https://doi.org/10.1016/j.jretai.2021.01.001","This article uses information from two data sources, Compustat and Nexis Uni, and textual analysis to measure and validate the brand focus and customer focus of 109 U.S. listed retailers. The results from an analysis of their 853 earnings calls in 2010 and 2018 outline that on average, both foci increased over time. Although both foci vary substantially, brand focus varies more widely across retailers than their customer focus. Both foci are independent of each other. Specialty retailers have the highest brand focus, and internet & direct marketing retailers have the highest customer focus. A positive correlation exists between a retailer’s customer focus and its profitability, but not between a retailer’s brand focus and its profitability. The authors use the results to generate a research agenda that can direct future research in further systematically exploring firms’ brand and customer focus.","Hassan2019_PRisk","https://openalex.org/W3128097922","article"
"Political information flow and management guidance","Dane M. Christensen; Arthur Morris; Beverly R. Walther; Laura Wellman","2022","Review of Accounting Studies","19","False","","https://doi.org/10.1007/s11142-022-09671-7","","Hassan2019_PRisk","https://openalex.org/W4220700534","article"
